Open*,High,Low,Close**,Volume,Market Cap
330.25,348.5,328.32,343.68,"1,551,260,140","6,167,686,393"
336.16,338.09,329.33,330.23,"1,150,597,729","5,925,637,086"
315.89,340.19,315.71,336.2,"1,216,405,504","6,032,155,088"
316.69,323.14,307.34,315.99,"1,236,137,481","5,669,016,593"
333.68,334.57,312.11,316.62,"1,311,332,080","5,679,741,909"
339.64,339.79,326.42,333.73,"1,206,905,812","5,986,043,211"
333.79,342.22,331.15,339.61,"1,226,299,625","6,090,824,526"
346.81,352.3,330.54,333.58,"1,617,493,636","5,982,117,479"
333.69,350.82,333.58,346.76,"1,791,977,352","6,217,888,009"
333.06,337.46,329.07,333.67,"1,364,528,841","5,982,644,434"
326.65,339.62,325.4,332.75,"1,507,071,290","5,965,406,241"
328.72,331.44,322.77,326.82,"1,521,358,677","5,858,646,056"
326.59,329.05,320.07,328.76,"1,485,593,980","5,892,751,618"
315.83,329.3,315.83,326.57,"1,647,491,046","5,852,931,216"
307.91,320.26,305.29,315.93,"1,376,384,681","5,661,633,810"
310.2,312.62,305.77,307.92,"1,319,630,375","5,517,534,583"
306.5,311.29,299,310.46,"1,304,270,432","5,562,469,266"
316.43,321.7,302.55,306.64,"1,529,445,657","5,493,623,993"
302.79,319.03,296.69,316.04,"1,485,022,992","5,661,444,258"
302.9,310.63,296.88,302.95,"1,270,702,881","5,426,343,673"
298.14,305.81,284.73,302.85,"1,507,512,759","5,424,049,391"
310.72,314.31,294.3,298.58,"1,465,679,636","5,347,064,857"
321,323.62,303.04,310.59,"1,297,124,990","5,561,548,261"
324.39,330.47,312.74,320.86,"1,359,692,581","5,744,869,635"
308.38,337.28,306.11,324.2,"1,715,437,159","5,804,085,930"
314.78,316.39,298.46,308.03,"1,455,314,291","5,513,937,260"
291.38,321.35,286.14,315.09,"1,844,896,871","5,639,784,558"
281.2,304.09,275.57,291.54,"2,288,443,142","5,217,863,519"
314.86,317.3,273.03,281.71,"2,120,520,439","5,041,290,674"
283.3,322.28,258.65,314.74,"2,464,005,425","5,631,883,901"
344.97,346.37,281.2,282.84,"1,688,007,280","5,060,555,564"
354.57,354.85,334.48,344.95,"1,496,154,286","6,171,207,834"
346.55,359.78,339.88,354.46,"1,671,307,825","6,340,628,507"
